Book, Chapter, Verse, Text
"2TH","1","1","ए पत्री पौलुस ते सिलवानुस ते तीमुथियुस थमां थिस्सलुनीकियों शैर दी कलीसिया दे नां ऐ, जेडे साडे पिता परमेसर ते प्रभु यीशु मसीह च न;"
"2TH","1","2","मेरी ए प्रार्थना ऐ,के साडे पिता परमेसर ते प्रभु यीशु मसीह थमां तुसेंगी क्रपा ते शान्ति मिलदी रवै।"
"2TH","1","3","ए विश्वासी प्राओ, थूआड़े बारै च असें अर बेलै परमेसर दा शुक्र करना चाईदा ऐ, ते ए बाजब बी ऐ, एस आसतै के थूआड़ा यीशु मसीह उपर विश्वास बददा जंदा ऐ, ते एक दुए आसतै थूआड़ा सारें दा प्यार जादै थमां जादै बददा जंदा ऐ।"
"2TH","1","4","एस लेई इत्थें तकर के अस अप्पुं परमेसर दी कलीसिया च थूआड़े बारै च कमण्ड करनयां न, के बे छक्क तोस परिख्या ते कलेश बर्दाश रौंदे ओ, इनें सारें दुखें च थूआड़ा सबर ते विश्वास परकट ओंदा ऐ।"
"2TH","1","5","तोस जेड़ा दोख चला करदे ओ ते तुसेंगी ए दोख परमेसर दे राज बेच दाखल ओनें दै काबल बना करदा ऐ,ए एक सच्चा सबूत ऐ, के परमेसर तार्मिकता कन्नें न्याय करग।"
"2TH","1","6","किके परमेसर दे कोल ए न्याय दी गल्ल ऐ, के जेड़े तुसेंगी कलेश दिंदे न, उनेंगी ओदे बदलै च ओ कलेश दै।"
"2TH","1","7","ते तोस ऊन, जेड़े कलेश चला दे ओ, साडे कन्नें ओ चैन तुसेंगी दै; ओस बेलै जेलै के प्रभु यीशु अपने शक्ति शाली सोर्गदूतें दै कन्नें, बलदी अग्गी थमां सोर्ग च परकट ओग,"
"2TH","1","8","ते जेडे परमेसर गी नेई पनछांनदे ते प्रभु यीशु दे शोभ समाचार गी नेई मनदे परमेसर उन्दे कन्नें बदला लेग।"
"2TH","1","9","ओ प्रभु दी आजरी कोला बख्ख ते ओदी शक्ति दी मैमा चा दूर ओईयै मेशा दी सज़ा पागन।"
"2TH","1","10","ए ओस देन ओग, जेलै ओ अपने पवित्र लोकें च मैमा दै कन्नें वापस ते सारे विश्वास करने आलें च रांनगी दा कारन ओग; ते तोस उनें लोकें च जिन्नें ओदे शोभ समाचार उपर विश्वास कित्ता।"
"2TH","1","11","एस लेई अस लगातार थूआड़े आसतै प्रार्थना बी करनयां न, के साड़ा परमेसर तुसेंगी ओस बलाबे दे जोग समझै, ते पला करने दी अर एक इच्छ्यां ते विश्वास दे अर एक कम गी अपनी शक्ति कन्नें पूरा करै,"
"2TH","1","12","के साडे परमेसर ते प्रभु यीशु मसीह दी क्रपा दै मताबक साडे प्रभु यीशु दे नां गी थूआड़े च मैमा मिलै, ते तुसें बी मैमा मिलै,किके तोस ओदे च ओं।"
"2TH","2","1","ए विश्वासी प्राओ, ऊन असें अपने प्रभु यीशु मसीह दे आैने, ते ओदे कोल अपने कठे ओनें दे बारै च थूआड़े अगें अर्ज करनयां न।"
