Book,Chapter,Verse,Text
PHP,1,1,"मसीह यीशु दे दास पौलुस ते तीमुथियुस थमां, सारें पवित्र लोकें दे नां जेड़े मसीह यीशु च न फिलिप्पी शैर च रौंदे न, कलिसिया दे अगबें ते सेवकें समेत। "
PHP,1,2,साड़े पिता परमेसर ते प्रभु यीशु मसीह थमां तुसेंगी क्रपा ते शान्ति मिलदी रवै। 
PHP,1,3,"आऊँ जेलै तुसेंगी याद करना ऐं, ओसलै अपने परमेसर दा शुक्र करना ऐं; "
PHP,1,4,"ते जेसलै कदें थूआड़े सबनी लेई अर्ज करना ऐ, तां मेशा खुशी कन्नें अर्ज करना ऐ। "
PHP,1,5,एस लेई के तोस पैले देन थमां लेइयै अज तकर यीशु मसीह दा शोभ समाचार फलाने च मेरे संगी रे ओ। 
PHP,1,6,"मीकी एस गल्ल दा परोसा ऐ जेस परमेसर ने थूआड़े च छैल कम शुरू कित्ता ऐ, उवै उसी यीशु मसीह दे वापस औने दे देन तकर पूरा करग। "
PHP,1,7,"बाजब ऐ, के आऊँ थूआड़े सारें आसतै इयै बचार करां, किके आऊँ थोड़े कन्नें बड़ा प्यार करना ऐं, ते मेरी कैद च ते शोभ समाचार आसतै जवाब ते सबूत देने च तोस सारे मेरे कन्नें क्रपा च शामल ओ। "
PHP,1,8,एस च परमेसर मेरा गवाह ऐ के आऊँ मसीह यीशु आला लेखा प्यार करियै थूआड़ी सारें दी खुआश करना ऐ। 
PHP,1,9,"आऊँ ए प्रार्थना करना ऐं, के थुआडे प्यार, ज्ञान ते सारे किसम दी अन्तर आत्मा कन्नें ओर बी बददा जा, "
PHP,1,10,"इत्थें तकर के तोस अच्छी कोला अच्छी गल्लें दा ईर्ख रखो, ते मसीह दे देन तकर सच्चे बने रवो, ते ठोकर नेई खाओ; "
PHP,1,11,"ते ओस तार्मिकता दे फल कन्नें जेडे यीशु मसीह थमां ओदे न, परपूर ओदे जाओ जेस कन्नें परमेसर दी मैमा ते स्तुति ओंदी रवै। "
PHP,1,12,"ए विश्वासी प्राओ, आऊँ चांना ऐ, के तोस ए जानी लियो के मेरे उपर जे केछ बितया ऐ, ओस कन्नें शोभ समाचार दी बढ़ोतरी गै ओई ऐ। "
PHP,1,13,इत्थें तकर के कैसर दे राज मैल दी सारी पलटन ते बाकी सारें लोकें च ए परकट ओया ऐ के आऊँ मसीह आसतै कैदी आँ; 
PHP,1,14,"ते प्रभु च जेडे प्रा न, उंदे बिचा जादै तर मेरे कैद ओनें दे कारन,इम्त रखीयै, परमेसर दा बचन बिना डर दै सनाने दा ओर बी इम्त करदे न। "
PHP,1,15,केछ तां जलन ते लड़ाई दै कारन मसीह दा प्रचार करदे न ते केछ पली निति कन्नें। 
PHP,1,16,"केई एक तां ए समझीयै के आऊँ शोभ समाचार आसतै जवाब देने आसतै रखया गिया ऐं, ओ प्यार कन्नें प्रचार करदे न। "
PHP,1,17,"ते केई एक तां साफ मन कन्नें नेई लेकन बरोध कन्नें मसीह दी कथा सनांदे न, ए सोचियै के मेरी कैद च मेरे आसतै कलेश पैदा करन। "
PHP,1,18,"ते के ओया? सेर्फ ए, के अर चाली दे भानें कन्नें, पवें सच्चाई कन्नें, मसीह दी कथा सनाई जन्दी ऐ, ते आऊँ एस कन्नें खोश ऐं, ते खोश रौगा बी। "
