Book, Chapter, Verse, Text
"1JN","1","1","हांऊँ यूहन्ना एक मांहणु रै बारै न लिखदा लागा सी। ज़ो ज़िन्दगी रा वचना ती। ज़ो शुरुआता न ती, ज़ो आसै शुणु, होर ज़ुण आसै आपणी औछ़ी सैंघै हेरू, मतलब ज़ो आसै ध्याना सैंघै हेरू; होर हौथा सैंघै छुँगु।"
"1JN","1","2","(सौ धौरती न आऊ, होर आसै सौ हेरू, होर आसै तेइरी गुआही देआ सी, होर तुसाबै तेसा हमेशा री ज़िन्दगी रै बारै न समाद देआ सी, ज़ो बापू सैंघै ती, होर आसा पैंधै प्रगट हुआ।)"
"1JN","1","3","ज़ो किछ़ आसै यीशु रै बारै न हेरू होर शुणु सा तेथा रा समाद तुसाबै भी देआ सी, ऊँईरी तैंईंयैं कि तुसै भी आसै रै सैंघी सी; होर आसरा मेल–मिलाप बापू सैंघै, होर तेई रै बेटै यीशु मसीह सैंघै सा।"
"1JN","1","4","होर ऐ गैला आसै एथा री तैंईंयैं लिखी सा, कि तुसरी खुशी पूरी होली।"
"1JN","1","5","ज़ो समाद आसै यीशु न शुणु होर तुसाबै शणा सी, सौ ऐ सा; कि परमेश्वर प्याशा सा होर तेईन किछ़ भी निहारा नी ऑथि।"
"1JN","1","6","अगर आसै बोललै, कि तेई सैंघै आसरा मेल-मिलाप सा, होर फिरी निहारै न चललै, ता तैबै आसै झ़ूठै सी; होर सच़ाई पैंधै नैंई च़लदै;"
"1JN","1","7","पर अगर ज़ैण्ढा परमेश्वर प्याशै न सा, तैण्ढाऐ आसै भी प्याशे न चललै, ता आसै एकी दुज़ै न मेल मिलाप रखा सी; होर तेइरै बेटै यीशु मसीह रा लोहू आसरै सैभ पापा बै च़ोखै केरा सी।"
"1JN","1","8","अगर आसै बोललै, कि आसै किछ़ भी पाप नेऊ केरू ता आसै आपणै आपा बै धोखा देआ सी; होर आसा न सच़ाई नी ऑथि"
"1JN","1","9","अगर आसै आपणै पापा बै मनलै ता सौ आसरै पापा बै माफ केरनै, होर आसरी सैभ बुराई न च़ोखै केरनै बै बिश्वासयोग्य होर धर्मी सा"
"1JN","1","10","अगर बोललै कि आसै पाप नी केरू ता परमेश्वरा बै झूठा ठहरा सी, होर तेइरा वचन आसा न नैंई ऑथि।"
"1JN","2","1","हे मेरै शोहरुओ, हांऊँ इन्हां गैला बै तुसरी तैंईंयैं एथै री तैंईंयैं लिखदा लागा सा कि तुसै पाप नी लोड़ी केरू होर अगर कोई पाप केरलै ता परमेश्वर बापू हागै आसरा पक्ष लेणु आल़ा एक सा, “यीशु मसीह ज़ो धर्मी सा।”"
"1JN","2","2","होर सौहै आसरै पापा रा प्रायश्चिता री बलि सा सिर्फ़ आसरै केल्ही नी बल्कि सारी दुनियै रै लोकै रै पापा रा बी।"
"1JN","2","3","आसै तेइरै हुक्मा बै मनलै ता एथा न आसा ज़ाणना कि आसै यीशु बै जाँणा सी।"
"1JN","2","4","ज़ो कोई ऐ बोला सा कि “हांऊँ तेइबै जाँणा सा” होर तेइरी हुक्म बै नी मनला सौ झ़ूठा सा होर तेईन सच़ाई नी ऑथि।"
"1JN","2","5","पर ज़ो परमेश्वरा रै वचना बै मनला, तेई पैंधै परमेश्वरा री झ़ुरी सच़ सिद्ध होआ सा एथा न ऐ पता च़ला सा कि आसै तेईन सी"
"1JN","2","6","अगर कोई बोला सा कि हांऊँ तेईन बणी रौहा सा ता तेइरी तैंईंयैं ऐ ज़रूरी सा कि आपु बी तैण्ढाऐ च़लला ज़ैण्ढा यीशु च़ला ती।"
"1JN","2","7","हे मेरै प्यारे भाइयो, हांऊँ तुसाबै कोई नोंऊँआं हुक्म नी लिखदा, पर पराणा हुक्म सा ज़ो तुसाबै शुरू न मिलू सा; ऐ पराणा हुक्म सौ वचन सा, ज़ैबै तुसै यीशु मसीह पैंधै बशाह केरू।"
"1JN","2","8","फिरी बी हांऊँ तुसाबै नोंऊँआं हुक्म लिखा सा किबैकि एथा रा सच़ मसीह न हेरूआ होर तुसा न बी; किबैकि निहारा बुराई बै रिहा सा होर प्याशा अच्छाई बै रिहा सा।"
"1JN","2","9","ज़ुण कोई ऐण्ढा बोला सा कि हांऊँ प्याशै न च़ला सा पर आपणै बिश्वासी भाई सैंघै बैर रखा सा, सौ हाज़ी तैंईंयैं निहारै न च़ला सा।"
"1JN","2","10","ज़ुण कोई आपणै भाई सैंघै झ़ुरी रखा सा सौ प्याशै न सा होर ठोकर नी खाई सकदा।"
"1JN","2","11","पर, ज़ुण आपणै भाई सैंघै बैर रखा सा, सौ निहारै न सा होर निहारै न च़ला सा होर ऐ नी ज़ाँणदा कि कौखै च़ौलू सा, किबैकि निहारै तेइरी औछ़ी कांणी केरी सी।"
"1JN","2","12","हे शोहरुओ, हांऊँ तुसाबै एथै री तैंईंयैं लिखा सा कि यीशु मसीह रै नाँ न तुसरै पाप माफ हुऐ।"
"1JN","2","13","ओ बापूओ, हांऊँ तुसाबै एथै री तैंईंयैं लिखा सा, कि ज़ो शुरू न लेइया सा तुसैई तेइबै जाँणा सी, हे ज़ुआनो हांऊँ तुसाबै एथै री तक लिखा सा, कि तुसै तेई शैताना पैंधै जय पाई सा, हे शोहरूओ, मैं तुसाबै एथै री तैंईंयैं लिखू सा कि तुसै परमेश्वर बापू बै जाँणा सी"
"1JN","2","14","ओ बापूओ, मैं तुसाबै एथै री तैंईंयैं लिखू सा कि, ज़ो शुरू न सा तुसै सौ ज़ाणू सा, हे ज़ुआनो, मैं तुसरी तक एथै री तैंईंयैं लिखू, कि तुसै मज़बूत होलै, होर परमेश्वरा रा वचन तुसा न बणी रौहला, होर तुसै तेई शैताना पैंधै जय पाई सा।"
"1JN","2","15","तुसै न ता दुनिया सैंघै होर न ही दुनिया री चीज़ा सैंघै झ़ुरी डाह, अगर कोई दुनिया न झ़ुरी डाआ सा, ता तेइन पिता परमेश्वरा री झ़ुरी नैंई ऑथि।"
"1JN","2","16","किबैकि ज़ो किछ़ दुनिया न सा, मतलब शरीरा री अभिलाषा होर औछ़ी री अभिलाषा होर कमाई रा घमण्ड, सौ पिता परमेश्वरा री तरफा न नैंई सा पर दुनिया री तरफा न सा।"
"1JN","2","17","दुनिया होर दुनिया री इच्छा सैभ दूऐ खत्म होंणी सा, पर ज़ो परमेश्वर री इच्छा पैंधै चला सा तेई हमेशा बणीया रौहणा।"
"1JN","2","18","ओ शोहरूओ, ऐ मसीह रै वापस ऐणै रा आखरी बौगत सा; होर तुसै शुणुदा सा कि मसीह रा बरोधी ऐणु आल़ा सा, तुंई रै मुताबक ऐबै भी बोहू मसीह रै बरोधी खड़ै हुऐंदे सी; ऊँई न आसा बुझणा कि ऐ आखरी बौगत सा।"
"1JN","2","19","तै मसीह बरोधी ज़ो निकतै ता आसा मौंझ़ै न, पर आसा मौंझ़ै नी ती ऑथि; किबैकि अगर आसा मौंझ़लै होलै, ता आसा सैंघै रौंहदै; पर निकतै तैबै कि ऐ जाहिर हो कि सौ सैभ आसा मौंझ़लै नी ती ऑथि।"
"1JN","2","20","पर तूसरा ता तेई पवित्र आत्मा सैंघै अभिषेक हुआ सा, होर तुसै सैभ किछ़ जाँणा सी।"
"1JN","2","21","मैं तुसाबै तैबै नैंई लिखू कि तुसै सच़ाई बै नैंई जाणदै, पर तैबै कि तुसै जाँणा सी, होर तैबै कि झूठ, सच़ा री तरफा न नैंई।"
