Book, Chapter, Verse, Text
"2TH","1","1","अह च़िठी आसा पल़सी, सिलास और तिमुतुसा बाखा। हाम्हैं आसा अह थिस्सलुनी रहणैं आल़ी विश्वासीए मंडल़ी लै लिखी दी ज़ुंण म्हारै बाप्पू परमेशर और प्रभू ईशू मसीहे आसा।"
"2TH","1","2","म्हारै बाप्पू परमेशर और प्रभू ईशू मसीहा का आसा म्हारी अरज़ कि तम्हां सोभी लोल़ी झींण और शांती सदा हुई।"
"2TH","1","3","भाईओ, थारै बारै लोल़ी त हाम्हैं हर बगत परमेशरा लै शूकर किअ। अह ठीक बी आसा इहअ करै कि थारअ विश्वास आसा मसीहा दी होर बी खास्सअ बढदअ लागअ द और थारी एकी दुजै लै झ़ूरी बी आसा बढदी लागी दी।"
"2TH","1","4","तैही करा हाम्हैं आप्पू बी परमेशरे होरी मंडल़ी दी थारै बारै घमंड कि तम्हैं ज़िरै बडै भारी सांगट और खरी, पर तज़ी बी किअ तम्हैं खास्सअ सबर और थारअ भरोस्सअ आसा मसीहा दी अज़ी बी पाक्कअ।"
"2TH","1","5","एता करै हआ अह गल्ल पाक्की कि परमेशरो न्याय आसा शुचअ और एतो नतिज़अ हआ इहअ कि तम्हैं हआ परमेशरे राज़ा दी डेऊणैं जोगी ज़ेते तैणीं तम्हैं दाह-दुख ज़िरदै आसा लागै दै।"
"2TH","1","6","ऐबै ज़ै परमेशर सदा धर्मां संघै करा न्याय ता तेऊ आणनअ तिन्नां लै सांगट ज़ुंणी तम्हां लै सांगट दैनअ।"
"2TH","1","7","तम्हां ज़हा एभै सांगट आसा तेऊ दैणीं तम्हां चैन और हाम्हां लै बी, अह हणअ तेभै ज़ेभै कि प्रभू ईशू मसीहा आपणैं शगती आल़ै स्वर्ग दूता संघै स्वर्गा का एछणअ और फेर हणीं आग भकी दी। ()"
"2TH","1","8","ज़ुंण परमेशरा नांईं बछ़ैणदै, और म्हारै प्रभू ईशूए खुशीए समादा नांईं मंदै, तेऊ दैणीं तिन्नां लै तेभै सज़ा। ()"
"2TH","1","9","तिंयां हणैं प्रभू का सदा लै ज़ुदै और तिंयां निं परमेशरे महान महिमें शगतीए साझ़ू हणैं तेऊ दैणीं तिन्नां लै सज़ा कि तिंयां हणैं सदा लै खतम। ()"
"2TH","1","10","अह हणअ तेभै ज़ुंण घल़ी परमेशरै प्रभू ईशू लै स्वर्गा का फिरी एछणा लै आसा डाही दी। एतो नतिज़अ हणअ इहअ कि तेभै करनी हाम्हां पबित्र मणछा तेऊए महिमां और तेभै हणीं हाम्हां तेऊ दी रहैनी ज़ुंण हाम्हैं तेऊ दी विश्वास करा। तूह बी हणअ तेभै तिधी किल्हैकि तंऐं बी किअ तेता दी विश्वास ज़ुंण हाम्हैं तेऊए बारै खोज़अ। ()"
